Restaurant_ID MuIXnv7Oq7X3-4aEsp9dDA
appetizer 7.977742156592889 38
friend 5.571007593788958 60
scottsdale 4.420086547785461 96
people 6.057136380563787 50
public house 3.8223960104272923 2
something 3.972672586881982 59
dish 4.530535956921539 78
chicken 5.31245601842338 104
way 5.259361477994596 55
service 7.020587782137248 265
dinner 3.43922680909509 115
popcorn 1.3157344594382723 79
scallops 3.621220929169727 155
citizen house 3.463485586912993 2
flavor 5.026113425838533 71
bacon 3.4485643540224915 126
hour 6.58960714327741 61
stars 4.114813555479997 38
place 6.4773485409946705 251
experience 7.143565812016355 92
citizen public 1.3874411117865735 90
night 2.9606341976679555 129
meatloaf 5.256334400779675 59
restaurant 6.035521582954429 143
cocktail 5.905381595623011 55
drink 4.405229499420635 93
salad 5.983585260962841 301
staff 6.383858658759669 62
atmosphere 7.408598416614217 94
ribs 2.652921404333586 93
wine 5.072787839177635 63
town 4.035038783423687 80
bar 5.819968133962467 164
pastrami belly 0.23329177528429462 1
bit 1.9034659226329984 81
time 3.4284591467022407 153
drinks 6.95638800576131 174
cheese 4.4075532226954675 117
bread pudding 3.6226025413376672 42
everything 7.054115029099859 79
cocktails 6.363744402916661 107
food 6.186976139203267 380
table 3.8430152634554897 68
menu 4.955426071421601 182
sauce 5.298282107768034 53
dessert 5.715024016622111 78
cph 4.175583267728795 74
friends 4.902429256866524 50
meal 5.991952850504365 95
pastrami pork 6.1768483886810985 3
server 7.2995126900800305 82
End -----------------------------------------------------------------------------
Restaurant_ID YQvg0JCGRFUkb6reMMf3Iw
spot 7.71546768996616 38
salads 7.273090353675191 38
bit 1.214467069514288 49
crust 5.207568062549363 60
dinner 3.869751677164122 50
sangria 5.905957606876547 77
restaurant 6.170652911132341 72
patio 4.887163600186383 48
way 4.6188194325989596 43
pizza 5.619152844134371 334
pizzas 5.328401871464825 81
lunch 4.989202219516685 31
service 5.59286406486359 166
wine bar 3.5848469290133838 31
bruschetta 5.66477082647603 160
bread 2.6889068124449245 43
thing 4.52525326122742 38
couple 3.192469374040269 33
fig 3.603284859223072 35
oil 3.955598280895009 43
times 3.062223733424006 40
table 2.9916311804105082 50
bar 5.564497467850071 75
tables 1.8085205232434085 37
glass 3.9607047057744103 48
server 6.0731982136266405 52
drinks 6.268830773615347 49
food 6.002460533706181 183
menu 4.4623387244504515 85
dessert 6.418413118515124 37
time 3.2917806283593567 123
cheese 5.27700420385525 103
friend 5.815762362047638 44
ice 5.7754719251409075 34
mill 3.697499869627834 127
experience 4.925532833557317 56
meal 5.908849975442971 40
night 4.498778384092475 103
atmosphere 7.471143316218023 85
place 6.887786359245042 225
wine 4.409597384716931 173
date 6.398749688107052 39
friends 5.4283570145521844 33
minutes 1.3772110771090702 25
pesto 4.554370881300499 38
plate 4.161651815511049 48
mushroom 3.983379824930318 39
prosciutto 3.968696871812309 40
order 3.8555345066735764 38
drink 4.308993458794623 46
people 5.059061494627627 55
hour 6.970519034028044 100
salad 4.079943819828214 65
tempe 6.10396196421358 39
places 5.187621230173542 41
area 3.2232568874767424 34
truffle 3.178258393916334 38
End -----------------------------------------------------------------------------
Restaurant_ID qjmCVYkwP-HDa35jwYucbQ
service 5.629847742993585 196
concept 5.2276755917524405 48
meal 5.722623608911073 77
experience 5.3453274282410845 53
lunch 5.933205497522875 72
fox 3.7837493214807356 47
food 5.63859850534766 607
thing 4.544374236528265 48
drink 5.079304828170894 53
hummus 6.891023161566062 63
tacos 3.892352779261995 50
bit 2.1761583472786135 68
potato 7.562840807485486 60
dumplings 6.745175241915481 46
burger 4.4092511763857765 56
